Batch_ID,Product,Production_Line,Batch_Date,Month_Year,Quarter,Shift,Supervisor,Batch_Size_kg,Raw_Material_Lot,Batch_Status,QC_Release_Date
BCH-2022-0112,Tapioca Crisps,Line D,2022-06-27 00:00:00,Jun-2022,Q2-2022,Morning,Suresh B.,216.7,RM-2111,Released,2022-06-30 00:00:00
BCH-2022-0113,Jackfruit Chips,Line E,2022-06-28 00:00:00,Jun-2022,Q2-2022,Afternoon,Ramesh K.,187.5,RM-2112,Released,2022-06-29 00:00:00
BCH-2022-0114,Okra Chips,Line F,2022-07-01 00:00:00,Jul-2022,Q3-2022,Night,Priya S.,204.5,RM-2113,Released,2022-07-03 00:00:00
BCH-2022-0115,Roasted Corn,Line A,2022-07-02 00:00:00,Jul-2022,Q3-2022,Morning,Anand M.,193.6,RM-2114,Released,2022-07-04 00:00:00
BCH-2022-0116,Chickpea Snacks,Line B,2022-07-04 00:00:00,Jul-2022,Q3-2022,Afternoon,Sagar A.,335.4,RM-2115,Released,2022-07-05 00:00:00
BCH-2022-0117,Banana Chips,Line C,2022-07-05 00:00:00,Jul-2022,Q3-2022,Night,Divya N.,602.0,RM-2116,Released,2022-07-08 00:00:00
BCH-2022-0118,Sweet Potato Chips,Line D,2022-07-06 00:00:00,Jul-2022,Q3-2022,Morning,Karthik V.,345.9,RM-2117,Released,2022-07-09 00:00:00
BCH-2022-0119,Masala Peanuts,Line E,2022-07-07 00:00:00,Jul-2022,Q3-2022,Afternoon,Meena R.,425.7,RM-2118,Released,2022-07-10 00:00:00
BCH-2022-0120,Tapioca Crisps,Line F,2022-07-08 00:00:00,Jul-2022,Q3-2022,Night,Suresh B.,265.7,RM-2119,Hold – OOS,
BCH-2022-0121,Jackfruit Chips,Line A,2022-07-09 00:00:00,Jul-2022,Q3-2022,Morning,Ramesh K.,392.6,RM-2120,Released,2022-07-10 00:00:00
BCH-2022-0122,Okra Chips,Line B,2022-07-14 00:00:00,Jul-2022,Q3-2022,Afternoon,Priya S.,418.7,RM-2121,Hold – OOS,
BCH-2022-0123,Roasted Corn,Line C,2022-07-15 00:00:00,Jul-2022,Q3-2022,Night,Anand M.,565.1,RM-2122,Hold – OOS,
BCH-2022-0124,Chickpea Snacks,Line D,2022-07-16 00:00:00,Jul-2022,Q3-2022,Morning,Sagar A.,225.4,RM-2123,Released,2022-07-19 00:00:00
BCH-2022-0125,Banana Chips,Line E,2022-07-17 00:00:00,Jul-2022,Q3-2022,Afternoon,Divya N.,261.6,RM-2124,Rejected,
BCH-2022-0126,Sweet Potato Chips,Line F,2022-07-18 00:00:00,Jul-2022,Q3-2022,Night,Karthik V.,262.2,RM-2125,Released,2022-07-19 00:00:00
BCH-2022-0127,Masala Peanuts,Line A,2022-07-19 00:00:00,Jul-2022,Q3-2022,Morning,Meena R.,221.3,RM-2126,Released,2022-07-20 00:00:00
BCH-2022-0128,Tapioca Crisps,Line B,2022-07-20 00:00:00,Jul-2022,Q3-2022,Afternoon,Suresh B.,589.3,RM-2127,Released,2022-07-21 00:00:00
BCH-2022-0129,Jackfruit Chips,Line C,2022-07-22 00:00:00,Jul-2022,Q3-2022,Night,Ramesh K.,557.5,RM-2128,Released,2022-07-25 00:00:00
BCH-2022-0130,Okra Chips,Line D,2022-07-27 00:00:00,Jul-2022,Q3-2022,Morning,Priya S.,266.9,RM-2129,Released,2022-07-30 00:00:00
BCH-2022-0131,Roasted Corn,Line E,2022-08-01 00:00:00,Aug-2022,Q3-2022,Afternoon,Anand M.,261.4,RM-2130,Released,2022-08-02 00:00:00
BCH-2022-0132,Chickpea Snacks,Line F,2022-08-04 00:00:00,Aug-2022,Q3-2022,Night,Sagar A.,586.0,RM-2131,Released,2022-08-07 00:00:00
BCH-2022-0133,Banana Chips,Line A,2022-08-05 00:00:00,Aug-2022,Q3-2022,Morning,Divya N.,508.8,RM-2132,Released,2022-08-06 00:00:00
BCH-2022-0134,Sweet Potato Chips,Line B,2022-08-08 00:00:00,Aug-2022,Q3-2022,Afternoon,Karthik V.,304.6,RM-2133,Hold – OOS,
BCH-2022-0135,Masala Peanuts,Line C,2022-08-09 00:00:00,Aug-2022,Q3-2022,Night,Meena R.,214.1,RM-2134,Released,2022-08-12 00:00:00
BCH-2022-0136,Tapioca Crisps,Line D,2022-08-11 00:00:00,Aug-2022,Q3-2022,Morning,Suresh B.,539.5,RM-2135,Released,2022-08-12 00:00:00
BCH-2022-0137,Jackfruit Chips,Line E,2022-08-12 00:00:00,Aug-2022,Q3-2022,Afternoon,Ramesh K.,439.9,RM-2136,Released,2022-08-13 00:00:00
BCH-2022-0138,Okra Chips,Line F,2022-08-13 00:00:00,Aug-2022,Q3-2022,Night,Priya S.,286.1,RM-2137,Released,2022-08-15 00:00:00
BCH-2022-0139,Roasted Corn,Line A,2022-08-14 00:00:00,Aug-2022,Q3-2022,Morning,Anand M.,518.3,RM-2138,Released,2022-08-15 00:00:00
BCH-2022-0140,Chickpea Snacks,Line B,2022-08-15 00:00:00,Aug-2022,Q3-2022,Afternoon,Sagar A.,497.1,RM-2139,Released,2022-08-17 00:00:00
BCH-2022-0141,Banana Chips,Line C,2022-08-16 00:00:00,Aug-2022,Q3-2022,Night,Divya N.,368.3,RM-2140,Released,2022-08-18 00:00:00
BCH-2022-0142,Sweet Potato Chips,Line D,2022-08-17 00:00:00,Aug-2022,Q3-2022,Morning,Karthik V.,212.2,RM-2141,Released,2022-08-19 00:00:00
BCH-2022-0143,Masala Peanuts,Line E,2022-08-19 00:00:00,Aug-2022,Q3-2022,Afternoon,Meena R.,472.1,RM-2142,Released,2022-08-20 00:00:00
BCH-2022-0144,Tapioca Crisps,Line F,2022-08-20 00:00:00,Aug-2022,Q3-2022,Night,Suresh B.,235.4,RM-2143,Hold – OOS,
BCH-2022-0145,Jackfruit Chips,Line A,2022-08-22 00:00:00,Aug-2022,Q3-2022,Morning,Ramesh K.,191.4,RM-2144,Released,2022-08-25 00:00:00
BCH-2022-0146,Okra Chips,Line B,2022-08-25 00:00:00,Aug-2022,Q3-2022,Afternoon,Priya S.,548.1,RM-2145,Released,2022-08-27 00:00:00
BCH-2022-0147,Roasted Corn,Line C,2022-08-26 00:00:00,Aug-2022,Q3-2022,Night,Anand M.,407.6,RM-2146,Released,2022-08-28 00:00:00
BCH-2022-0148,Chickpea Snacks,Line D,2022-08-28 00:00:00,Aug-2022,Q3-2022,Morning,Sagar A.,459.5,RM-2147,Released,2022-08-31 00:00:00
BCH-2022-0149,Banana Chips,Line E,2022-08-29 00:00:00,Aug-2022,Q3-2022,Afternoon,Divya N.,402.9,RM-2148,Released,2022-09-01 00:00:00
BCH-2022-0150,Sweet Potato Chips,Line F,2022-08-30 00:00:00,Aug-2022,Q3-2022,Night,Karthik V.,576.9,RM-2149,Released,2022-09-01 00:00:00
BCH-2022-0151,Masala Peanuts,Line A,2022-08-31 00:00:00,Aug-2022,Q3-2022,Morning,Meena R.,336.7,RM-2150,Released,2022-09-03 00:00:00
BCH-2022-0152,Tapioca Crisps,Line B,2022-09-02 00:00:00,Sep-2022,Q3-2022,Afternoon,Suresh B.,290.9,RM-2151,Hold – OOS,
BCH-2022-0153,Jackfruit Chips,Line C,2022-09-03 00:00:00,Sep-2022,Q3-2022,Night,Ramesh K.,252.6,RM-2152,Released,2022-09-05 00:00:00
BCH-2022-0154,Okra Chips,Line D,2022-09-04 00:00:00,Sep-2022,Q3-2022,Morning,Priya S.,543.8,RM-2153,Released,2022-09-06 00:00:00
BCH-2022-0155,Roasted Corn,Line E,2022-09-05 00:00:00,Sep-2022,Q3-2022,Afternoon,Anand M.,366.8,RM-2154,Released,2022-09-07 00:00:00
BCH-2022-0156,Chickpea Snacks,Line F,2022-09-06 00:00:00,Sep-2022,Q3-2022,Night,Sagar A.,403.5,RM-2155,Hold – OOS,
BCH-2022-0157,Banana Chips,Line A,2022-09-07 00:00:00,Sep-2022,Q3-2022,Morning,Divya N.,223.6,RM-2156,Released,2022-09-10 00:00:00
BCH-2022-0158,Sweet Potato Chips,Line B,2022-09-09 00:00:00,Sep-2022,Q3-2022,Afternoon,Karthik V.,469.7,RM-2157,Released,2022-09-10 00:00:00
BCH-2022-0159,Masala Peanuts,Line C,2022-09-10 00:00:00,Sep-2022,Q3-2022,Night,Meena R.,220.6,RM-2158,Hold – OOS,
BCH-2022-0160,Tapioca Crisps,Line D,2022-09-11 00:00:00,Sep-2022,Q3-2022,Morning,Suresh B.,415.9,RM-2159,Released,2022-09-13 00:00:00
BCH-2022-0161,Jackfruit Chips,Line E,2022-09-12 00:00:00,Sep-2022,Q3-2022,Afternoon,Ramesh K.,337.9,RM-2160,Released,2022-09-13 00:00:00
BCH-2022-0162,Okra Chips,Line F,2022-09-15 00:00:00,Sep-2022,Q3-2022,Night,Priya S.,288.6,RM-2161,Released,2022-09-18 00:00:00
